id,fraction,r,g,b
321_100,0.07644259,147.0,32.0,18.0
321_100,0.2761749,253.0,252.0,250.0
321_100,0.05339084,38.0,6.0,4.0
321_100,0.037923854,68.0,5.0,4.0
321_100,0.00594884,168.0,156.0,151.0
321_100,0.005502677,182.0,147.0,131.0
321_100,0.03881618,127.0,17.0,10.0
321_100,0.050118975,107.0,11.0,7.0
321_100,0.07763236,25.0,9.0,6.0
321_100,0.031975016,53.0,7.0,6.0
322_100,0.0751041,147.0,32.0,18.0
322_100,0.27394408,253.0,252.0,250.0
322_100,0.054134443,39.0,7.0,5.0
322_100,0.039857227,68.0,5.0,4.0
322_100,0.005502677,166.0,155.0,151.0
322_100,0.005502677,184.0,148.0,134.0
322_100,0.04030339,127.0,16.0,11.0
322_100,0.048631765,107.0,11.0,7.0
322_100,0.08060678,24.0,9.0,6.0
322_100,0.029892921,53.0,7.0,5.0
323_100,0.07852469,147.0,31.0,18.0
323_100,0.27424154,252.0,252.0,250.0
323_100,0.057257585,38.0,7.0,4.0
323_100,0.040749554,68.0,5.0,4.0
323_100,0.005800119,169.0,157.0,153.0
323_100,0.043575253,127.0,16.0,11.0
323_100,0.045211185,107.0,10.0,7.0
323_100,0.07807852,25.0,10.0,7.0
323_100,0.030190364,53.0,7.0,5.0
323_100,0.048036885,87.0,8.0,7.0
324_100,0.084176086,148.0,32.0,18.0
324_100,0.27320048,253.0,252.0,250.0
324_100,0.05368828,38.0,7.0,4.0
324_100,0.040898275,69.0,5.0,4.0
324_100,0.005651398,166.0,154.0,150.0
324_100,0.00446163,190.0,152.0,138.0
324_100,0.038518738,127.0,16.0,10.0
324_100,0.051160023,107.0,10.0,6.0
324_100,0.0800119,25.0,10.0,6.0
324_100,0.033164784,53.0,8.0,5.0
325_100,0.08655562,147.0,31.0,18.0
325_100,0.27305177,253.0,252.0,250.0
325_100,0.05770375,39.0,6.0,5.0
325_100,0.038072575,68.0,5.0,6.0
325_100,0.005502677,132.0,119.0,117.0
325_100,0.004610351,189.0,154.0,140.0
325_100,0.0389649,125.0,16.0,11.0
325_100,0.046549674,107.0,9.0,7.0
325_100,0.079863176,25.0,9.0,7.0
325_100,0.03242118,54.0,7.0,6.0
326_100,0.088488996,147.0,31.0,18.0
326_100,0.27067223,253.0,252.0,250.0
326_100,0.05056514,107.0,9.0,7.0
326_100,0.056216538,38.0,6.0,4.0
326_100,0.040600833,68.0,5.0,5.0
326_100,0.005353956,166.0,154.0,150.0
326_100,0.03584176,125.0,15.0,10.0
326_100,0.08090422,25.0,9.0,6.0
326_100,0.032123737,53.0,7.0,5.0
326_100,0.049672812,88.0,7.0,7.0
327_100,0.09042237,147.0,30.0,19.0
327_100,0.28494942,253.0,252.0,250.0
327_100,0.061570495,38.0,6.0,4.0
327_100,0.041344438,67.0,5.0,4.0
327_100,0.005502677,131.0,119.0,116.0
327_100,0.004610351,182.0,143.0,129.0
327_100,0.03747769,126.0,15.0,11.0
327_100,0.048185606,107.0,9.0,7.0
327_100,0.032123737,53.0,7.0,6.0
327_100,0.0715348,25.0,10.0,7.0
32_100,0.11867936,151.0,29.0,24.0
32_100,0.2641285,252.0,251.0,250.0
32_100,0.064544916,39.0,6.0,4.0
32_100,0.045657348,70.0,5.0,4.0
32_100,0.006543724,161.0,150.0,148.0
32_100,0.06380131,126.0,13.0,13.0
32_100,0.06409875,107.0,8.0,7.0
32_100,0.009964307,155.0,114.0,103.0
32_100,0.06365259,89.0,8.0,8.0
32_100,0.082688875,25.0,9.0,7.0
33_100,0.118084475,151.0,29.0,24.0
33_100,0.26353362,253.0,251.0,250.0
33_100,0.07064247,38.0,6.0,4.0
33_100,0.04595479,69.0,5.0,3.0
33_100,0.006692445,161.0,150.0,148.0
33_100,0.06543724,126.0,13.0,13.0
33_100,0.06915527,106.0,8.0,7.0
33_100,0.07897085,25.0,9.0,7.0
33_100,0.059785843,89.0,9.0,9.0
33_100,0.028554432,53.0,7.0,5.0
34_100,0.11600238,152.0,30.0,24.0
34_100,0.26368234,253.0,252.0,250.0
34_100,0.07317073,38.0,6.0,4.0
34_100,0.045062464,68.0,5.0,3.0
34_100,0.006543724,162.0,151.0,149.0
34_100,0.069898866,126.0,13.0,13.0
34_100,0.06603213,106.0,8.0,8.0
34_100,0.07778108,25.0,9.0,7.0
34_100,0.058744796,88.0,8.0,8.0
34_100,0.027513385,53.0,7.0,5.0
